product_key,product_sku,product_name,product_description,brand,subcategory,category,department,uom,pack_size,weight_kg,dimensions,color,size,style,material,is_active,is_discontinued,standard_cost,list_price,current_flag,effective_from,effective_to,row_created_date,row_updated_date,category_id
52,SKU-00031,Sony Laptops Max,Sony Laptops in Gold (Sport) - Plastic build.,Sony,Laptops,Electronics,Retail,L,2 KG,0.92,9.8x18.1x9.6 cm,Gold,XL,Sport,Plastic,1,0,18138.14,27365.32,0,6/20/2021,9/11/2021,6/20/2021,9/11/2021,1.00
32,SKU-00032,Levis Jeans Plus,Levis Jeans in Beige (Sport) - Alloy build.,Levis,Jeans,Apparel,Retail,PCS,2 Pack,1.33,23.3x19.2x2.2 cm,Beige,S,Sport,Alloy,1,0,1128.95,1724.08,1,1/21/2024,,1/21/2024,1/25/2024,2.00
33,SKU-00033,Fortune Beverages Basic,Fortune Beverages in Green (Sport) - Wood build.,Fortune,Beverages,Grocery,Retail,EA,10 Pack,7.41,37.1x13.4x17.0 cm,Green,M,Sport,Wood,1,0,491.55,703.95,1,6/10/2022,,6/10/2022,6/30/2022,3.00
34,SKU-00034,Ikea Decor Max,Ikea Decor in Gold (Modern) - Cotton build.,Ikea,Decor,Home,Retail,PCS,10 Pack,22.4,63.3x79.2x36.4 cm,Gold,M,Modern,Cotton,1,0,5293.72,6912.12,1,6/12/2023,,6/12/2023,7/31/2023,4.00
56,SKU-00034,Ikea Decor Max,Ikea Decor in Gold (Modern) - Cotton build.,Ikea,Decor,Home,Retail,PCS,10 Pack,22.4,63.3x79.2x36.4 cm,Gold,M,Modern,Cotton,1,0,5447.43,6981.65,0,2/28/2021,3/26/2023,2/28/2021,3/26/2023,4.00
35,SKU-00035,Himalaya Skin Care Pro,Himalaya Skin Care in Blue (Modern) - Glass build.,Himalaya,Skin Care,Beauty,Retail,L,5 Pack,0.38,6.6x8.0x11.4 cm,Blue,M,Modern,Glass,1,0,631.62,1048.47,1,8/15/2022,,8/15/2022,8/21/2022,5.00
37,SKU-00037,Samsung Audio Max,Samsung Audio in Green (Classic) - Steel build.,Samsung,Audio,Electronics,Retail,EA,1 Unit,3.63,27.9x19.7x4.1 cm,Green,XXL,Classic,Steel,1,0,9397.28,13474.68,1,5/17/2023,,5/17/2023,7/30/2023,1.00
38,SKU-00038,Adidas Jeans Pro,Adidas Jeans in Grey (Sport) - Leather build.,Adidas,Jeans,Apparel,Retail,L,10 Pack,0.75,47.0x40.6x4.7 cm,Grey,XXL,Sport,Leather,1,0,1150.42,1455.35,1,6/4/2022,,6/4/2022,6/11/2022,2.00
39,SKU-00039,Fortune Snacks Plus,Fortune Snacks in Green (Modern) - Steel build.,Fortune,Snacks,Grocery,Retail,EA,10 Pack,5.77,24.0x15.3x25.0 cm,Green,L,Modern,Steel,1,0,261.49,421.04,1,8/28/2024,,8/28/2024,11/20/2024,3.00
54,SKU-00039,Fortune Snacks Plus,Fortune Snacks in Green (Modern) - Steel build.,Fortune,Snacks,Grocery,Retail,EA,10 Pack,5.77,24.0x15.3x25.0 cm,Green,L,Modern,Steel,1,0,273.16,393.71,0,6/17/2021,5/6/2024,6/17/2021,5/6/2024,3.00
40,SKU-00040,Philips Decor,Philips Decor in Green (Casual) - Alloy build.,Philips,Decor,Home,Retail,PCS,1 KG,8.07,26.0x19.6x22.3 cm,Green,L,Casual,Alloy,1,0,2593.69,4141.66,1,8/27/2025,,8/27/2025,11/14/2025,4.00
41,SKU-00041,Himalaya Fragrance Max,Himalaya Fragrance in Black (Modern) - Wood build.,Himalaya,Fragrance,Beauty,Retail,L,2 KG,1.35,10.7x11.9x6.6 cm,Black,M,Modern,Wood,1,0,1110.29,1639.71,1,7/27/2021,,7/27/2021,8/17/2021,5.00
42,SKU-00042,Dell Mobile Phones,Dell Mobile Phones in Beige (Sport) - Plastic build.,Dell,Mobile Phones,Electronics,Retail,KG,2 Pack,2.65,26.9x15.0x6.7 cm,Beige,XXL,Sport,Plastic,1,0,30914.21,48746.42,1,10/26/2021,,10/26/2021,1/11/2022,1.00
43,SKU-00043,Puma Jeans,Puma Jeans in Silver (Modern) - Leather build.,Puma,Jeans,Apparel,Retail,PCS,500 ML,0.45,22.2x27.4x1.4 cm,Silver,XS,Modern,Leather,1,0,2450.09,3178.27,1,8/23/2021,,8/23/2021,9/17/2021,2.00
55,SKU-00043,Puma Jeans,Puma Jeans in Silver (Modern) - Leather build.,Puma,Jeans,Apparel,Retail,PCS,500 ML,0.45,22.2x27.4x1.4 cm,Silver,XS,Modern,Leather,1,0,2117.43,3333.64,0,3/24/2021,7/22/2021,3/24/2021,7/22/2021,2.00
44,SKU-00044,Fortune Snacks Basic,Fortune Snacks in Gold (Formal) - Cotton build.,Fortune,Snacks,Grocery,Retail,KG,500 ML,4.79,18.4x9.8x29.2 cm,Gold,XXL,Formal,Cotton,1,0,1188.52,1895.89,1,1/17/2021,,1/17/2021,3/24/2021,3.00
45,SKU-00045,Philips Lighting Basic,Philips Lighting in Grey (Classic) - Alloy build.,Philips,Lighting,Home,Retail,EA,500 ML,18.53,46.2x59.2x58.7 cm,Grey,XXL,Classic,Alloy,1,0,3563.51,4903.97,1,5/16/2021,,5/16/2021,7/2/2021,4.00
46,SKU-00046,Nivea Hair Care Pro,Nivea Hair Care in Red (Sport) - Leather build.,Nivea,Hair Care,Beauty,Retail,KG,500 ML,1.87,18.4x13.9x9.0 cm,Red,XL,Sport,Leather,1,0,686.19,888.12,1,12/9/2022,,12/9/2022,2/17/2023,5.00
51,SKU-00046,Nivea Hair Care Pro,Nivea Hair Care in Red (Sport) - Leather build.,Nivea,Hair Care,Beauty,Retail,KG,500 ML,1.87,18.4x13.9x9.0 cm,Red,XL,Sport,Leather,1,0,687.76,874.71,0,5/3/2021,8/29/2022,5/3/2021,8/29/2022,5.00
47,SKU-00047,Samsung Audio Basic,Samsung Audio in Blue (Modern) - Wood build.,Samsung,Audio,Electronics,Retail,KG,1 KG,4.06,37.0x28.2x8.1 cm,Blue,XS,Modern,Wood,1,0,13841.99,22410.91,1,10/23/2022,,10/23/2022,1/16/2023,1.00
48,SKU-00048,Levis T-Shirts Plus,Levis T-Shirts in White (Sport) - Wood build.,Levis,T-Shirts,Apparel,Retail,PCS,500 ML,1.24,23.3x15.3x4.4 cm,White,XS,Sport,Wood,1,0,1449.1,2206.37,1,7/31/2022,,7/31/2022,10/19/2022,2.00
49,SKU-00049,Tata Beverages Plus,Tata Beverages in Beige (Casual) - Leather build.,Tata,Beverages,Grocery,Retail,KG,5 Pack,7.37,37.3x15.0x9.9 cm,Beige,L,Casual,Leather,1,0,145.02,232.9,1,3/10/2021,,3/10/2021,4/1/2021,3.00
50,SKU-00050,Philips Kitchen Basic,Philips Kitchen in White (Sport) - Polyester build.,Philips,Kitchen,Home,Retail,PCS,500 ML,19.1,53.8x49.5x21.8 cm,White,L,Sport,Polyester,1,0,5560.93,8265.37,1,7/17/2023,,7/17/2023,10/9/2023,4.00
